City,Airbnb_Price_Night,Airbnb_Score,Airbnb_Cost_4_Days,Year,Quarter,FlightPrice,PredictedFlightPrice,Sentiment,Score_Flight,Score_Airbnb,Score_Sentiment,OverallScore,Rank
san diego,251.83206024744487,4.820895151263986,556.5235707121365,2024.0,3.0,180.3080597,181.9541378,0.694138235,0.005546063784746057,0.001796869086282157,0.694138235,0.21099895673978306,1
new orleans,269.0669262143122,4.790588235294118,625.7650793650794,2024.0,3.0,318.5411406,253.7636069,0.670495331,0.003139311920954426,0.0015980437914730411,0.670495331,0.2028837372058237,2
new york,167.49689562773676,4.725737619911848,488.97380877248344,2024.0,3.0,517.4829507,268.0126979,0.667715044,0.0019324308146718623,0.0020450993121909605,0.667715044,0.20170101531952606,3
san francisco,192.23567289117835,4.79551746031746,511.44739045492605,,,,,0.664205189,,0.0019552353158171607,0.664205189,0.19984812729474516,4
"washington, dc",158.25701547338053,4.7907531380753134,496.9875945537065,2024.0,3.0,459.8730367,82.47991874,0.639466116,0.0021745132247280546,0.0020121226585102132,0.639466116,0.1933132768874443,5
seattle,159.54069545280856,4.808871550903901,500.08959858061655,2024.0,3.0,212.8712372,251.0942672,0.616098611,0.004697675520438982,0.0019996416698892724,0.616098611,0.18730854600914237,6
honolulu,297.6345839446657,4.787221183304818,645.2955794100245,2024.0,3.0,389.4728459,446.7650287,0.608039286,0.002567573094060471,0.0015496774376081604,0.608039286,0.18390371826890664,7
chicago,169.66170634920636,4.768724239450441,483.97277277277277,2024.0,3.0,355.3685394,358.9908283,0.602764286,0.0028139801055219694,0.0020662319375340235,0.602764286,0.182574747423469,8
nashville,179.84601175482788,4.852311935807422,551.4745972738538,2024.0,3.0,337.3357337,290.9983371,0.573528,0.002964405783614142,0.0018133201509976632,0.573528,0.17378815835874495,9
boston,184.97954711468225,4.743290909090909,537.2709090909091,2024.0,2.0,425.4126871,512.4606028,0.54015,0.0023506586200259093,0.0018612584137340567,0.54015,0.1635436409721306,10
