Year,Quarter,Origin City,Origin State,Destination City,Destination State,Passengers,MktFare,MktDistance,MktMilesFlown,Price Per Person (USD),Route,Is_Group,Fare_per_Mile,Log_Price_Per_Person,Route_Count,Route_Mean,Airline Code_AS,Airline Code_B6,Airline Code_DL,Airline Code_F9,Airline Code_UA,Airline Code_WN,Dist_Med,Dist_Long,Dist_XL,Predicted Price Per Person (USD)
2024,3,San Francisco,CA,Honolulu,HI,2,768,2398,2398,384,San Francisco–Honolulu,1,0.1601334445,5.953243334,3388,389.4728459,0,0,0,0,1,0,0,1,0,184.0232892
2024,3,San Francisco,CA,Honolulu,HI,1,769,2398,2398,769,San Francisco–Honolulu,0,0.3206839033,6.646390515,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,775,2398,2398,775,San Francisco–Honolulu,0,0.3231859883,6.65415252,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,783,2398,2398,783,San Francisco–Honolulu,0,0.3265221018,6.66440902,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,785,2398,2398,785,San Francisco–Honolulu,0,0.3273561301,6.666956792,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,786,2398,2398,786,San Francisco–Honolulu,0,0.3277731443,6.668228248,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,792,2398,2398,792,San Francisco–Honolulu,0,0.3302752294,6.675823222,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,794,2398,2398,794,San Francisco–Honolulu,0,0.3311092577,6.678342115,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,2,797,2398,2398,398.5,San Francisco–Honolulu,1,0.1661801501,5.990213765,3388,389.4728459,0,0,0,0,1,0,0,1,0,184.0232892
2024,3,San Francisco,CA,Honolulu,HI,1,803,2398,2398,803,San Francisco–Honolulu,0,0.3348623853,6.689599269,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,807,2398,2398,807,San Francisco–Honolulu,0,0.336530442,6.694562059,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,4,808,2398,2398,202,San Francisco–Honolulu,1,0.08423686405,5.313205979,3388,389.4728459,0,0,0,0,1,0,0,1,0,83.39892722
2024,3,San Francisco,CA,Honolulu,HI,1,813,2398,2398,813,San Francisco–Honolulu,0,0.3390325271,6.701960366,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,816,2398,2398,816,San Francisco–Honolulu,0,0.3402835696,6.705639095,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,820,2398,2398,820,San Francisco–Honolulu,0,0.3419516264,6.710523109,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,825,2398,2398,825,San Francisco–Honolulu,0,0.3440366972,6.716594774,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,829,2398,2398,829,San Francisco–Honolulu,0,0.345704754,6.721425701,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,831,2398,2398,831,San Francisco–Honolulu,0,0.3465387823,6.723832441,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,840,2398,2398,840,San Francisco–Honolulu,0,0.3502919099,6.73459166,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,844,2398,2398,844,San Francisco–Honolulu,0,0.3519599666,6.739336627,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,845,2398,2398,845,San Francisco–Honolulu,0,0.3523769808,6.74051936,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
